 x1	  y1
0	 0.000101771
10000	 0.000135334
20000	 0.000176919
30000	 0.000227625
40000	 0.000288535
50000	 0.00036068
60000	 0.000445001
70000	 0.000542318
80000	 0.000653294
90000	 0.000778401
100000	 0.000917893
110000	 0.00107178
120000	 0.0012398
130000	 0.00142143
140000	 0.00161586
150000	 0.00182199
160000	 0.00203847
170000	 0.00226369
180000	 0.00249581
190000	 0.00273284
200000	 0.0029726
210000	 0.00321284
220000	 0.00345127
230000	 0.00368557
240000	 0.0039135
250000	 0.00413292
260000	 0.00434184
270000	 0.00453843
280000	 0.00472112
290000	 0.00488855
300000	 0.00503963
310000	 0.00517353
320000	 0.00528972
330000	 0.00538788
340000	 0.00546799
350000	 0.00553021
360000	 0.00557494
370000	 0.00560276
380000	 0.00561439
390000	 0.00561069
400000	 0.00559261
410000	 0.00556118
420000	 0.00551747
430000	 0.0054626
440000	 0.00539767
450000	 0.00532379
460000	 0.00524202
470000	 0.00515341
480000	 0.00505893
490000	 0.00495955
500000	 0.00485611
510000	 0.00474945
520000	 0.00464032
530000	 0.00452939
540000	 0.0044173
550000	 0.0043046
560000	 0.0041918
570000	 0.00407933
580000	 0.0039676
590000	 0.00385694
600000	 0.00374764
610000	 0.00363997
620000	 0.00353412
630000	 0.00343029
640000	 0.00332862
650000	 0.00322922
660000	 0.00313218
670000	 0.00303759
680000	 0.00294547
690000	 0.00285587
700000	 0.0027688
710000	 0.00268425
720000	 0.00260223
730000	 0.00252271
740000	 0.00244566
750000	 0.00237104
760000	 0.00229881
770000	 0.00222893
780000	 0.00216135
790000	 0.00209601
800000	 0.00203285
810000	 0.00197182
820000	 0.00191285
830000	 0.00185589
840000	 0.00180088
850000	 0.00174775
860000	 0.00169645
870000	 0.00164691
880000	 0.00159908
890000	 0.0015529
900000	 0.0015083
910000	 0.00146525
920000	 0.00142367
930000	 0.00138353
940000	 0.00134476
950000	 0.00130732
960000	 0.00127116
970000	 0.00123622
980000	 0.00120248
990000	 0.00116988
1e+06	 0.00113837
1.01e+06	 0.00110792
1.02e+06	 0.0010785
1.03e+06	 0.00105005
1.04e+06	 0.00102255
1.05e+06	 0.000995955
1.06e+06	 0.000970236
1.07e+06	 0.000945359
1.08e+06	 0.000921292
1.09e+06	 0.000898005
1.1e+06	 0.000875469
1.11e+06	 0.000853656
1.12e+06	 0.000832539
1.13e+06	 0.000812093
1.14e+06	 0.000792292
1.15e+06	 0.000773113
1.16e+06	 0.000754533
1.17e+06	 0.000736529
1.18e+06	 0.000719082
1.19e+06	 0.00070217
1.2e+06	 0.000685774
1.21e+06	 0.000669876
1.22e+06	 0.000654457
1.23e+06	 0.0006395
1.24e+06	 0.00062499
1.25e+06	 0.000610909
1.26e+06	 0.000597244
1.27e+06	 0.000583978
1.28e+06	 0.000571099
1.29e+06	 0.000558592
1.3e+06	 0.000546445
1.31e+06	 0.000534645
1.32e+06	 0.00052318
1.33e+06	 0.000512039
1.34e+06	 0.000501211
1.35e+06	 0.000490685
1.36e+06	 0.00048045
1.37e+06	 0.000470498
1.38e+06	 0.000460818
1.39e+06	 0.000451402
1.4e+06	 0.000442241
1.41e+06	 0.000433326
1.42e+06	 0.000424649
1.43e+06	 0.000416203
1.44e+06	 0.00040798
1.45e+06	 0.000399972
1.46e+06	 0.000392174
1.47e+06	 0.000384578
1.48e+06	 0.000377178
1.49e+06	 0.000369968
1.5e+06	 0.000362941
1.51e+06	 0.000356092
1.52e+06	 0.000349415
1.53e+06	 0.000342906
1.54e+06	 0.000336558
1.55e+06	 0.000330368
1.56e+06	 0.000324329
1.57e+06	 0.000318438
1.58e+06	 0.000312691
1.59e+06	 0.000307082
1.6e+06	 0.000301608
1.61e+06	 0.000296264
1.62e+06	 0.000291047
1.63e+06	 0.000285954
1.64e+06	 0.000280979
1.65e+06	 0.000276121
1.66e+06	 0.000271376
1.67e+06	 0.00026674
1.68e+06	 0.00026221
1.69e+06	 0.000257784
1.7e+06	 0.000253458
1.71e+06	 0.000249229
1.72e+06	 0.000245096
1.73e+06	 0.000241054
1.74e+06	 0.000237102
1.75e+06	 0.000233238
1.76e+06	 0.000229458
1.77e+06	 0.00022576
1.78e+06	 0.000222143
1.79e+06	 0.000218603
1.8e+06	 0.00021514
1.81e+06	 0.00021175
1.82e+06	 0.000208433
1.83e+06	 0.000205185
1.84e+06	 0.000202006
1.85e+06	 0.000198893
1.86e+06	 0.000195845
1.87e+06	 0.000192859
1.88e+06	 0.000189935
1.89e+06	 0.000187071
1.9e+06	 0.000184265
1.91e+06	 0.000181516
1.92e+06	 0.000178822
1.93e+06	 0.000176183
1.94e+06	 0.000173595
1.95e+06	 0.00017106
1.96e+06	 0.000168574
1.97e+06	 0.000166137
1.98e+06	 0.000163747
1.99e+06	 0.000161404
2e+06	 0.000159106
