 x	DSM	TSM	
0.0165	0.999881	0.000118613	
0.0166	0.999881	0.000118723	
0.0167	0.999881	0.000118832	
0.0168	0.999881	0.000118941	
0.0169	0.999881	0.00011905	
0.017	0.999881	0.00011916	
0.0171	0.999881	0.000119269	
0.0172	0.999881	0.000119379	
0.0173	0.999881	0.000119489	
0.0174	0.99988	0.000119599	
0.0175	0.99988	0.000119709	
0.0176	0.99988	0.000119819	
0.0177	0.99988	0.000119929	
0.0178	0.99988	0.000120039	
0.0179	0.99988	0.000120149	
0.018	0.99988	0.00012026	
0.0181	0.99988	0.00012037	
0.0182	0.99988	0.000120481	
0.0183	0.999879	0.000120592	
0.0184	0.999879	0.000120703	
0.0185	0.999879	0.000120814	
0.0186	0.999879	0.000120925	
0.0187	0.999879	0.000121036	
0.0188	0.999879	0.000121147	
0.0189	0.999879	0.000121259	
0.019	0.999879	0.00012137	
0.0191	0.999879	0.000121482	
0.0192	0.999878	0.000121593	
0.0193	0.999878	0.000121705	
0.0194	0.999878	0.000121817	
0.0195	0.999878	0.000121929	
0.0196	0.999878	0.000122041	
0.0197	0.999878	0.000122153	
0.0198	0.999878	0.000122266	
0.0199	0.999878	0.000122378	
0.02	0.999878	0.000122491	
0.0201	0.999877	0.000122603	
0.0202	0.999877	0.000122716	
0.0203	0.999877	0.000122829	
0.0204	0.999877	0.000122942	
0.0205	0.999877	0.000123055	
0.0206	0.999877	0.000123168	
0.0207	0.999877	0.000123281	
0.0208	0.999877	0.000123395	
0.0209	0.999876	0.000123508	
0.021	0.999876	0.000123622	
0.0211	0.999876	0.000123735	
0.0212	0.999876	0.000123849	
0.0213	0.999876	0.000123963	
0.0214	0.999876	0.000124077	
0.0215	0.999876	0.000124191	
0.0216	0.999876	0.000124305	
0.0217	0.999876	0.000124419	
0.0218	0.999875	0.000124534	
0.0219	0.999875	0.000124648	
0.022	0.999875	0.000124763	
0.0221	0.999875	0.000124878	
0.0222	0.999875	0.000124992	
0.0223	0.999875	0.000125107	
0.0224	0.999875	0.000125222	
0.0225	0.999875	0.000125338	
