 x	Error4	Error2	Error0	
268	3.27079	3.57338	3.89716	
269	3.264	3.56704	3.89164	
270	3.25721	3.56069	3.88609	
271	3.2504	3.55433	3.88053	
272	3.24359	3.54796	3.87495	
273	3.23677	3.54157	3.86936	
274	3.22995	3.53517	3.86374	
275	3.22312	3.52877	3.85811	
276	3.21628	3.52235	3.85246	
277	3.20943	3.51592	3.8468	
278	3.20258	3.50947	3.84112	
279	3.19572	3.50302	3.83542	
280	3.18886	3.49656	3.82971	
281	3.18199	3.49008	3.82397	
282	3.17511	3.48359	3.81823	
283	3.16822	3.4771	3.81246	
284	3.16133	3.47059	3.80668	
285	3.15444	3.46407	3.80089	
286	3.14754	3.45754	3.79508	
287	3.14063	3.451	3.78925	
288	3.13372	3.44445	3.7834	
289	3.1268	3.43789	3.77755	
290	3.11988	3.43132	3.77167	
291	3.11295	3.42474	3.76578	
292	3.10601	3.41815	3.75987	
293	3.09907	3.41155	3.75395	
294	3.09213	3.40495	3.74802	
295	3.08518	3.39833	3.74207	
296	3.07823	3.3917	3.7361	
297	3.07127	3.38506	3.73012	
298	3.0643	3.37842	3.72412	
299	3.05734	3.37176	3.71811	
300	3.05036	3.36509	3.71209	
301	3.04339	3.35842	3.70605	
302	3.03641	3.35174	3.7	
303	3.02942	3.34505	3.69393	
304	3.02243	3.33835	3.68784	
305	3.01544	3.33164	3.68175	
306	3.00844	3.32492	3.67564	
307	3.00144	3.3182	3.66951	
308	2.99444	3.31146	3.66338	
309	2.98743	3.30472	3.65723	
310	2.98042	3.29797	3.65106	
311	2.97341	3.29121	3.64488	
312	2.96639	3.28445	3.63869	
313	2.95937	3.27767	3.63249	
314	2.95234	3.27089	3.62627	
315	2.94532	3.2641	3.62004	
316	2.93829	3.25731	3.61379	
317	2.93126	3.2505	3.60753	
318	2.92422	3.24369	3.60126	
319	2.91719	3.23688	3.59498	
320	2.91015	3.23005	3.58869	
321	2.90311	3.22322	3.58238	
322	2.89606	3.21638	3.57606	
323	2.88902	3.20954	3.56973	
324	2.88197	3.20268	3.56338	
325	2.87492	3.19583	3.55703	
326	2.86787	3.18896	3.55066	
327	2.86081	3.18209	3.54428	
328	2.85376	3.17521	3.53789	
329	2.8467	3.16833	3.53149	
330	2.83965	3.16144	3.52507	
331	2.83259	3.15454	3.51865	
332	2.82553	3.14764	3.51221	
333	2.81847	3.14074	3.50576	
334	2.8114	3.13382	3.4993	
335	2.80434	3.1269	3.49283	
336	2.79728	3.11998	3.48635	
337	2.79021	3.11305	3.47985	
338	2.78315	3.10612	3.47335	
339	2.77608	3.09918	3.46684	
340	2.76902	3.09223	3.46031	
341	2.76195	3.08528	3.45378	
342	2.75488	3.07833	3.44723	
343	2.74782	3.07137	3.44068	
344	2.74075	3.06441	3.43411	
345	2.73369	3.05744	3.42754	
346	2.72662	3.05047	3.42095	
347	2.71955	3.04349	3.41436	
348	2.71249	3.03651	3.40775	
349	2.70542	3.02953	3.40114	
350	2.69836	3.02254	3.39451	
351	2.6913	3.01554	3.38788	
352	2.68423	3.00855	3.38124	
353	2.67717	3.00155	3.37459	
354	2.67011	2.99454	3.36792	
355	2.66305	2.98754	3.36125	
356	2.656	2.98053	3.35458	
357	2.64894	2.97351	3.34789	
358	2.64188	2.96649	3.34119	
359	2.63483	2.95947	3.33449	
360	2.62778	2.95245	3.32777	
361	2.62073	2.94542	3.32105	
362	2.61368	2.9384	3.31432	
363	2.60663	2.93136	3.30758	
364	2.59959	2.92433	3.30084	
365	2.59255	2.91729	3.29408	
366	2.58551	2.91025	3.28732	
367	2.57847	2.90321	3.28055	
368	2.57144	2.89617	3.27377	
369	2.5644	2.88912	3.26699	
370	2.55737	2.88207	3.26019	
371	2.55035	2.87502	3.25339	
372	2.54332	2.86797	3.24658	
373	2.5363	2.86092	3.23977	
374	2.52928	2.85387	3.23295	
375	2.52227	2.84681	3.22612	
376	2.51526	2.83975	3.21928	
377	2.50825	2.83269	3.21244	
378	2.50124	2.82563	3.20559	
379	2.49424	2.81857	3.19874	
380	2.48725	2.81151	3.19187	
381	2.48025	2.80445	3.18501	
382	2.47326	2.79738	3.17813	
383	2.46628	2.79032	3.17125	
384	2.45929	2.78325	3.16436	
385	2.45232	2.77619	3.15747	
386	2.44534	2.76912	3.15057	
387	2.43837	2.76206	3.14367	
388	2.43141	2.75499	3.13676	
389	2.42445	2.74792	3.12984	
390	2.41749	2.74086	3.12292	
391	2.41054	2.73379	3.11599	
392	2.4036	2.72673	3.10906	
393	2.39666	2.71966	3.10212	
394	2.38972	2.7126	3.09518	
395	2.38279	2.70553	3.08823	
396	2.37587	2.69847	3.08128	
397	2.36895	2.6914	3.07433	
398	2.36203	2.68434	3.06736	
399	2.35513	2.67728	3.0604	
400	2.34822	2.67022	3.05343	
401	2.34133	2.66316	3.04645	
402	2.33443	2.6561	3.03947	
403	2.32755	2.64905	3.03249	
404	2.32067	2.64199	3.0255	
405	2.3138	2.63494	3.01851	
406	2.30693	2.62789	3.01152	
407	2.30007	2.62084	3.00452	
408	2.29322	2.61379	2.99752	
409	2.28637	2.60674	2.99051	
410	2.27953	2.5997	2.9835	
411	2.2727	2.59265	2.97649	
412	2.26587	2.58562	2.96947	
413	2.25905	2.57858	2.96245	
414	2.25224	2.57154	2.95543	
415	2.24543	2.56451	2.94841	
416	2.23864	2.55748	2.94138	
417	2.23185	2.55045	2.93435	
418	2.22506	2.54343	2.92731	
419	2.21829	2.53641	2.92028	
420	2.21152	2.52939	2.91324	
421	2.20476	2.52237	2.9062	
422	2.19801	2.51536	2.89916	
423	2.19126	2.50835	2.89211	
424	2.18453	2.50135	2.88507	
425	2.1778	2.49435	2.87802	
426	2.17108	2.48735	2.87097	
427	2.16437	2.48036	2.86391	
428	2.15767	2.47337	2.85686	
429	2.15097	2.46638	2.8498	
430	2.14429	2.4594	2.84275	
431	2.13761	2.45242	2.83569	
432	2.13095	2.44545	2.82863	
433	2.12429	2.43848	2.82157	
434	2.11764	2.43151	2.81451	
435	2.111	2.42455	2.80744	
436	2.10437	2.4176	2.80038	
437	2.09775	2.41065	2.79332	
438	2.09114	2.4037	2.78625	
439	2.08454	2.39676	2.77919	
440	2.07794	2.38983	2.77212	
441	2.07136	2.3829	2.76506	
442	2.06479	2.37597	2.75799	
443	2.05823	2.36905	2.75092	
444	2.05168	2.36214	2.74386	
445	2.04513	2.35523	2.73679	
446	2.0386	2.34833	2.72972	
447	2.03208	2.34143	2.72266	
448	2.02557	2.33454	2.71559	
449	2.01907	2.32765	2.70853	
450	2.01258	2.32077	2.70146	
451	2.0061	2.3139	2.6944	
452	1.99964	2.30704	2.68734	
453	1.99318	2.30017	2.68028	
454	1.98674	2.29332	2.67322	
455	1.9803	2.28647	2.66616	
456	1.97388	2.27963	2.6591	
457	1.96747	2.2728	2.65204	
458	1.96107	2.26597	2.64499	
459	1.95468	2.25915	2.63793	
460	1.9483	2.25234	2.63088	
461	1.94194	2.24554	2.62383	
462	1.93559	2.23874	2.61678	
463	1.92925	2.23195	2.60973	
464	1.92292	2.22516	2.60269	
465	1.91661	2.21839	2.59564	
466	1.9103	2.21162	2.5886	
467	1.90401	2.20486	2.58156	
468	1.89773	2.19811	2.57453	
469	1.89147	2.19137	2.56749	
470	1.88521	2.18463	2.56046	
471	1.87897	2.1779	2.55343	
472	1.87275	2.17118	2.54641	
473	1.86653	2.16447	2.53939	
474	1.86033	2.15777	2.53237	
475	1.85415	2.15108	2.52535	
476	1.84797	2.14439	2.51834	
477	1.84181	2.13771	2.51133	
478	1.83566	2.13105	2.50432	
479	1.82953	2.12439	2.49732	
480	1.82341	2.11774	2.49032	
481	1.81731	2.1111	2.48332	
482	1.81121	2.10447	2.47633	
483	1.80514	2.09785	2.46935	
484	1.79907	2.09124	2.46236	
485	1.79302	2.08464	2.45538	
486	1.78699	2.07804	2.44841	
487	1.78097	2.07146	2.44144	
488	1.77496	2.06489	2.43447	
489	1.76897	2.05833	2.42751	
490	1.763	2.05177	2.42055	
491	1.75703	2.04523	2.4136	
492	1.75109	2.0387	2.40665	
493	1.74516	2.03218	2.39971	
494	1.73924	2.02567	2.39277	
495	1.73334	2.01917	2.38584	
496	1.72746	2.01268	2.37891	
497	1.72159	2.0062	2.37199	
498	1.71573	1.99973	2.36507	
499	1.70989	1.99328	2.35816	
500	1.70407	1.98683	2.35126	
501	1.69826	1.9804	2.34436	
502	1.69247	1.97398	2.33746	
503	1.6867	1.96756	2.33057	
504	1.68094	1.96117	2.32369	
505	1.6752	1.95478	2.31682	
506	1.66947	1.9484	2.30995	
507	1.66376	1.94204	2.30309	
508	1.65807	1.93568	2.29623	
509	1.65239	1.92934	2.28938	
510	1.64674	1.92302	2.28254	
511	1.64109	1.9167	2.2757	
512	1.63547	1.9104	2.26887	
513	1.62986	1.90411	2.26205	
514	1.62427	1.89783	2.25523	
515	1.6187	1.89156	2.24842	
516	1.61314	1.88531	2.24162	
517	1.6076	1.87907	2.23483	
518	1.60208	1.87284	2.22804	
519	1.59658	1.86663	2.22126	
520	1.59109	1.86043	2.21449	
521	1.58562	1.85424	2.20773	
522	1.58017	1.84806	2.20097	
523	1.57474	1.8419	2.19423	
524	1.56933	1.83576	2.18749	
525	1.56394	1.82962	2.18076	
526	1.55856	1.8235	2.17403	
527	1.5532	1.8174	2.16732	
528	1.54786	1.81131	2.16061	
529	1.54254	1.80523	2.15392	
530	1.53724	1.79916	2.14723	
531	1.53196	1.79312	2.14055	
532	1.52669	1.78708	2.13388	
533	1.52145	1.78106	2.12721	
534	1.51622	1.77505	2.12056	
535	1.51102	1.76906	2.11392	
536	1.50583	1.76309	2.10728	
537	1.50067	1.75712	2.10066	
538	1.49552	1.75118	2.09404	
539	1.49039	1.74525	2.08744	
540	1.48528	1.73933	2.08084	
541	1.4802	1.73343	2.07425	
542	1.47513	1.72754	2.06768	
543	1.47008	1.72167	2.06111	
544	1.46505	1.71582	2.05455	
545	1.46005	1.70998	2.04801	
546	1.45506	1.70416	2.04147	
547	1.45009	1.69835	2.03495	
548	1.44515	1.69256	2.02843	
549	1.44022	1.68679	2.02193	
550	1.43532	1.68103	2.01543	
551	1.43044	1.67528	2.00895	
552	1.42558	1.66956	2.00248	
553	1.42074	1.66385	1.99602	
554	1.41592	1.65816	1.98957	
555	1.41112	1.65248	1.98313	
556	1.40634	1.64682	1.9767	
557	1.40159	1.64118	1.97028	
558	1.39685	1.63555	1.96388	
559	1.39214	1.62994	1.95749	
560	1.38745	1.62435	1.95111	
561	1.38279	1.61878	1.94474	
562	1.37814	1.61322	1.93838	
563	1.37352	1.60768	1.93203	
564	1.36892	1.60216	1.9257	
565	1.36434	1.59666	1.91938	
566	1.35978	1.59117	1.91307	
567	1.35525	1.58571	1.90677	
568	1.35074	1.58026	1.90049	
569	1.34625	1.57483	1.89422	
570	1.34178	1.56941	1.88796	
571	1.33734	1.56402	1.88172	
572	1.33292	1.55864	1.87548	
573	1.32852	1.55328	1.86926	
574	1.32415	1.54794	1.86306	
575	1.3198	1.54262	1.85686	
576	1.31548	1.53732	1.85068	
577	1.31117	1.53204	1.84452	
578	1.3069	1.52677	1.83836	
579	1.30264	1.52153	1.83222	
580	1.29841	1.5163	1.8261	
581	1.2942	1.5111	1.81999	
582	1.29002	1.50591	1.81389	
583	1.28586	1.50074	1.80781	
584	1.28173	1.4956	1.80174	
585	1.27762	1.49047	1.79568	
586	1.27353	1.48536	1.78964	
587	1.26947	1.48027	1.78361	
588	1.26543	1.4752	1.7776	
589	1.26142	1.47016	1.7716	
590	1.25744	1.46513	1.76562	
591	1.25348	1.46012	1.75965	
592	1.24954	1.45513	1.7537	
593	1.24563	1.45017	1.74776	
594	1.24174	1.44522	1.74184	
595	1.23788	1.4403	1.73593	
596	1.23405	1.43539	1.73004	
597	1.23024	1.43051	1.72416	
598	1.22645	1.42565	1.7183	
599	1.22269	1.42081	1.71246	
600	1.21896	1.41599	1.70663	
601	1.21526	1.41119	1.70081	
602	1.21158	1.40641	1.69502	
603	1.20792	1.40166	1.68923	
604	1.2043	1.39693	1.68347	
605	1.2007	1.39221	1.67772	
606	1.19712	1.38752	1.67199	
607	1.19357	1.38286	1.66627	
608	1.19005	1.37821	1.66057	
609	1.18656	1.37359	1.65489	
610	1.18309	1.36898	1.64922	
611	1.17965	1.36441	1.64357	
