 x	ProportionalFair	ProportionalFairQoE	TSMQoS	TSMQoE	
10	0.996387	0.998071	0.996509	0.997973	
20	0.990533	0.991442	0.989854	0.992025	
30	0.966734	0.975442	0.967405	0.973831	
40	0.907892	0.88892	0.914826	0.93678	
50	0.607896	0.417501	0.850942	0.881809	
60	0.0438624	0.018415	0.775941	0.821149	
70	1.75736e-140	1.66355e-140	0.701013	0.746032	
