 x	ProportionalFair	ProportionalFairQoE	TSMQoS	TSMQoE	
10	0.870444	0.881532	0.862048	0.882178	
20	0.903226	0.917681	0.907885	0.92166	
30	0.922626	0.94137	0.953065	0.948447	
40	0.929322	0.946773	0.927099	0.934033	
50	0.947189	0.957454	0.874736	0.898731	
60	0.962668	0.971715	0.80544	0.842611	
70	0.975564	0.980624	0.734762	0.773106	
