 x1	  y1
1	 0.000126967
2	 0.000138273
3	 0.000150464
4	 0.000163595
5	 0.000177728
6	 0.000192924
7	 0.000209248
8	 0.000226768
9	 0.000245555
10	 0.000265681
11	 0.000287222
12	 0.000310256
13	 0.000334864
14	 0.000361128
15	 0.000389135
16	 0.000418972
17	 0.000450729
18	 0.000484497
19	 0.00052037
20	 0.000558443
21	 0.000598812
22	 0.000641576
23	 0.000686833
24	 0.000734682
25	 0.000785223
26	 0.000838557
27	 0.000894782
28	 0.000953999
29	 0.0010163
30	 0.00108179
31	 0.00115057
32	 0.00122271
33	 0.00129832
34	 0.00137748
35	 0.00146027
36	 0.00154678
37	 0.00163707
38	 0.00173122
39	 0.00182929
40	 0.00193134
41	 0.00203742
42	 0.00214757
43	 0.00226183
44	 0.00238022
45	 0.00250277
46	 0.00262948
47	 0.00276035
48	 0.00289536
49	 0.00303451
50	 0.00317775
51	 0.00332503
52	 0.0034763
53	 0.00363148
54	 0.0037905
55	 0.00395326
56	 0.00411963
57	 0.00428951
58	 0.00446274
59	 0.00463919
60	 0.00481867
61	 0.00500102
62	 0.00518603
63	 0.00537349
64	 0.00556319
65	 0.00575489
66	 0.00594833
67	 0.00614326
68	 0.0063394
69	 0.00653647
70	 0.00673416
71	 0.00693216
72	 0.00713017
73	 0.00732785
74	 0.00752487
75	 0.00772087
76	 0.00791552
77	 0.00810845
78	 0.00829931
79	 0.00848773
80	 0.00867334
81	 0.00885578
82	 0.00903468
83	 0.00920967
84	 0.00938039
85	 0.00954648
86	 0.00970758
87	 0.00986334
88	 0.0100134
89	 0.0101575
90	 0.0102952
91	 0.0104263
92	 0.0105505
93	 0.0106674
94	 0.0107768
95	 0.0108785
96	 0.0109721
97	 0.0110575
98	 0.0111345
99	 0.0112029
100	 0.0112625
101	 0.0113132
102	 0.0113548
103	 0.0113873
104	 0.0114106
105	 0.0114245
106	 0.0114292
107	 0.0114245
108	 0.0114106
109	 0.0113873
110	 0.0113548
111	 0.0113132
112	 0.0112625
113	 0.0112029
114	 0.0111345
115	 0.0110575
116	 0.0109721
117	 0.0108785
118	 0.0107768
119	 0.0106674
120	 0.0105505
121	 0.0104263
122	 0.0102952
123	 0.0101575
124	 0.0100134
125	 0.00986334
126	 0.00970758
127	 0.00954648
128	 0.00938039
129	 0.00920967
130	 0.00903468
131	 0.00885578
132	 0.00867334
133	 0.00848773
134	 0.00829931
135	 0.00810845
136	 0.00791552
137	 0.00772087
138	 0.00752487
139	 0.00732785
140	 0.00713017
141	 0.00693216
142	 0.00673416
143	 0.00653647
144	 0.0063394
145	 0.00614326
146	 0.00594833
147	 0.00575489
148	 0.00556319
149	 0.00537349
150	 0.00518603
151	 0.00500102
152	 0.00481867
153	 0.00463919
154	 0.00446274
155	 0.00428951
156	 0.00411963
157	 0.00395326
158	 0.0037905
159	 0.00363148
160	 0.0034763
161	 0.00332503
162	 0.00317775
163	 0.00303451
164	 0.00289536
165	 0.00276035
166	 0.00262948
167	 0.00250277
168	 0.00238022
169	 0.00226183
170	 0.00214757
171	 0.00203742
172	 0.00193134
173	 0.00182929
174	 0.00173122
175	 0.00163707
176	 0.00154678
177	 0.00146027
178	 0.00137748
179	 0.00129832
180	 0.00122271
181	 0.00115057
182	 0.00108179
183	 0.0010163
184	 0.000953999
185	 0.000894782
186	 0.000838557
187	 0.000785223
188	 0.000734682
189	 0.000686833
190	 0.000641576
191	 0.000598812
192	 0.000558443
193	 0.00052037
194	 0.000484497
195	 0.000450729
196	 0.000418972
197	 0.000389135
198	 0.000361128
199	 0.000334864
200	 0.000310256
201	 0.000287222
202	 0.000265681
203	 0.000245555
204	 0.000226768
205	 0.000209248
206	 0.000192924
207	 0.000177728
208	 0.000163595
209	 0.000150464
210	 0.000138273
211	 0.000126967
