 x1	  y1
1.10232	 0.000862332
1.10115	 0.000884331
1.09995	 0.000906452
1.09873	 0.000928696
1.09748	 0.00095106
1.09622	 0.000973544
1.09492	 0.000996146
1.09361	 0.00101886
1.09227	 0.00104169
1.09091	 0.00106464
1.08953	 0.00108768
1.08812	 0.00111083
1.08669	 0.00113408
1.08524	 0.00115743
1.08377	 0.00118086
1.08227	 0.00120437
1.08075	 0.00122796
1.07921	 0.00125163
1.07569	 0.00728503
1.06644	 0.00802974
1.05655	 0.00877202
1.04604	 0.00949899
1.03494	 0.010195
1.02329	 0.0108419
1.01109	 0.0114199
0.99838	 0.0119089
0.985183	 0.0122891
0.971523	 0.0125436
0.957426	 0.0126591
0.942918	 0.0126278
0.928022	 0.0124483
0.912765	 0.0121258
0.897172	 0.0116723
0.881268	 0.0111051
0.865078	 0.0104459
0.848628	 0.00971892
0.831943	 0.00894876
0.815048	 0.00815918
0.797969	 0.00737154
0.78073	 0.00660396
0.763357	 0.00587084
0.745875	 0.00518276
0.72831	 0.00454672
0.710687	 0.00396653
0.69303	 0.00344341
0.675366	 0.00297647
0.65772	 0.00256334
0.640116	 0.00220059
0.62258	 0.00188417
0.605138	 0.00160973
0.587814	 0.00137285
0.570634	 0.00116923
0.553623	 0.000994821
0.536807	 0.000845857
0.52021	 0.000718929
0.503858	 0.000610985
0.487776	 0.00051932
0.47199	 0.000441565
0.456525	 0.000375656
0.441405	 0.000319812
0.426657	 0.000272498
0.412305	 0.000232403
0.398375	 0.000198408
0.384892	 0.000169563
0.371881	 0.00014506
0.359368	 0.000124216
0.347378	 0.000106455
0.335936	 9.12886e-05
0.325067	 7.83053e-05
0.314796	 6.71573e-05
0.30515	 5.75506e-05
