 x	Error4	Error2	Error0	
188	74.0521	80.2181	87.511	
189	73.9181	80.0841	87.377	
190	73.7841	79.9501	87.243	
191	73.6501	79.8161	87.109	
192	73.5161	79.6821	86.975	
193	73.3821	79.5481	86.841	
194	73.2481	79.4141	86.707	
195	73.1141	79.2801	86.573	
196	72.9801	79.1461	86.439	
197	72.8461	79.0121	86.305	
198	72.7121	78.8781	86.171	
199	72.5781	78.7441	86.037	
200	72.4441	78.6101	85.903	
201	72.3101	78.4761	85.769	
202	72.1761	78.3421	85.635	
203	72.0421	78.2081	85.501	
204	71.9081	78.0741	85.367	
205	71.7741	77.9401	85.233	
206	71.6401	77.8061	85.099	
207	71.5061	77.6721	84.965	
208	71.3721	77.5381	84.831	
209	71.2381	77.4041	84.697	
210	71.1041	77.2701	84.563	
211	70.9701	77.1361	84.429	
212	70.8361	77.0021	84.295	
213	70.7021	76.8681	84.161	
214	70.5681	76.7341	84.027	
215	70.4341	76.6001	83.893	
216	70.3001	76.4661	83.759	
217	70.1661	76.3321	83.625	
218	70.0321	76.1981	83.491	
219	69.8981	76.0641	83.357	
220	69.7641	75.9301	83.223	
221	69.6301	75.7961	83.089	
222	69.4961	75.6621	82.955	
223	69.3621	75.5281	82.821	
224	69.2281	75.3941	82.687	
225	69.0941	75.2601	82.553	
226	68.9601	75.1261	82.419	
227	68.8261	74.9921	82.285	
228	68.6921	74.8581	82.151	
229	68.5581	74.7241	82.017	
230	68.4241	74.5901	81.883	
231	68.2901	74.4561	81.749	
232	68.1561	74.3221	81.615	
233	68.0221	74.1881	81.481	
234	67.8881	74.0541	81.347	
235	67.7541	73.9201	81.213	
236	67.6201	73.7861	81.079	
237	67.4861	73.6521	80.945	
238	67.3521	73.5181	80.811	
239	67.2181	73.3841	80.677	
240	67.0841	73.2501	80.543	
241	66.9501	73.1161	80.409	
242	66.8161	72.9821	80.275	
243	66.6821	72.8481	80.141	
244	66.5481	72.7141	80.007	
245	66.4141	72.5801	79.873	
246	66.2801	72.4461	79.739	
247	66.1461	72.3121	79.605	
248	66.0121	72.1781	79.471	
249	65.8781	72.0441	79.337	
250	65.7441	71.9101	79.203	
251	65.6101	71.7761	79.069	
252	65.4761	71.6421	78.935	
253	65.3421	71.5081	78.801	
254	65.2081	71.3741	78.667	
255	65.0741	71.2401	78.533	
256	64.9401	71.1061	78.399	
257	64.8061	70.9721	78.265	
258	64.6721	70.8381	78.131	
259	64.5381	70.7041	77.997	
260	64.4041	70.5701	77.863	
261	64.2701	70.4361	77.729	
262	64.1361	70.3021	77.595	
263	64.0021	70.1681	77.461	
264	63.8681	70.0341	77.327	
265	63.7341	69.9001	77.193	
266	63.6001	69.7661	77.059	
267	63.4661	69.6321	76.925	
268	63.3321	69.4981	76.791	
269	63.1981	69.3641	76.657	
270	63.0641	69.2301	76.523	
271	62.9301	69.0961	76.389	
272	62.7961	68.9621	76.255	
273	62.6621	68.8281	76.121	
274	62.5281	68.6941	75.987	
275	62.3941	68.5601	75.853	
276	62.2601	68.4261	75.719	
277	62.1261	68.2921	75.585	
278	61.9921	68.1581	75.451	
279	61.8581	68.0241	75.317	
280	61.7241	67.8901	75.183	
281	61.5901	67.7561	75.049	
282	61.4561	67.6221	74.915	
283	61.3221	67.4881	74.781	
284	61.1881	67.3541	74.647	
285	61.0541	67.2201	74.513	
286	60.9201	67.0861	74.379	
287	60.7861	66.9521	74.245	
288	60.6521	66.8181	74.111	
289	60.5181	66.6841	73.977	
290	60.3841	66.5501	73.843	
291	60.2501	66.4161	73.709	
292	60.1161	66.2821	73.575	
293	59.9821	66.1481	73.441	
294	59.8481	66.0141	73.307	
295	59.7141	65.8801	73.173	
296	59.5801	65.7461	73.039	
297	59.4461	65.6121	72.905	
298	59.3121	65.4781	72.771	
299	59.1781	65.3441	72.637	
300	59.0441	65.2101	72.503	
301	58.9101	65.0761	72.369	
302	58.7761	64.9421	72.235	
303	58.6421	64.8081	72.101	
304	58.5081	64.6741	71.967	
305	58.3741	64.5401	71.833	
306	58.2401	64.4061	71.699	
307	58.1061	64.2721	71.565	
308	57.9721	64.1381	71.431	
309	57.8381	64.0041	71.297	
310	57.7041	63.8701	71.163	
311	57.5701	63.7361	71.029	
312	57.4361	63.6021	70.895	
313	57.3021	63.4681	70.761	
314	57.1681	63.3341	70.627	
315	57.0341	63.2001	70.493	
316	56.9001	63.0661	70.359	
317	56.7661	62.9321	70.225	
318	56.6321	62.7981	70.091	
319	56.4981	62.6641	69.957	
320	56.3641	62.5301	69.823	
321	56.2301	62.3961	69.689	
322	56.0961	62.2621	69.555	
323	55.9621	62.1281	69.421	
324	55.8281	61.9941	69.287	
325	55.6941	61.8601	69.153	
326	55.5601	61.7261	69.019	
327	55.4261	61.5921	68.885	
328	55.2921	61.4581	68.751	
329	55.1581	61.3241	68.617	
330	55.0241	61.1901	68.483	
331	54.8901	61.0561	68.349	
332	54.7561	60.9221	68.215	
333	54.6221	60.7881	68.081	
334	54.4881	60.6541	67.947	
335	54.3541	60.5201	67.813	
336	54.2201	60.3861	67.679	
337	54.0861	60.2521	67.545	
338	53.9521	60.1181	67.411	
339	53.8181	59.9841	67.277	
340	53.6841	59.8501	67.143	
341	53.5501	59.7161	67.009	
342	53.4161	59.5821	66.875	
343	53.2821	59.4481	66.741	
344	53.1481	59.3141	66.607	
345	53.0141	59.1801	66.473	
346	52.8801	59.0461	66.339	
347	52.7461	58.9121	66.205	
348	52.6121	58.7781	66.071	
349	52.4781	58.6441	65.937	
350	52.3441	58.5101	65.803	
351	52.2101	58.3761	65.669	
352	52.0761	58.2421	65.535	
353	51.9421	58.1081	65.401	
354	51.8081	57.9741	65.267	
355	51.6741	57.8401	65.133	
356	51.5401	57.7061	64.999	
357	51.4061	57.5721	64.865	
358	51.2721	57.4381	64.731	
359	51.1381	57.3041	64.597	
360	51.0041	57.1701	64.463	
361	50.8701	57.0361	64.329	
362	50.7361	56.9021	64.195	
363	50.6021	56.7681	64.061	
364	50.4681	56.6341	63.927	
365	50.3341	56.5001	63.793	
366	50.2001	56.3661	63.659	
367	50.0661	56.2321	63.525	
368	49.9321	56.0981	63.391	
369	49.7981	55.9641	63.257	
370	49.6641	55.8301	63.123	
371	49.5301	55.6961	62.989	
372	49.3961	55.5621	62.855	
373	49.2621	55.4281	62.721	
374	49.1281	55.2941	62.587	
375	48.9941	55.1601	62.453	
376	48.8601	55.0261	62.319	
377	48.7261	54.8921	62.185	
378	48.5921	54.7581	62.051	
379	48.4581	54.6241	61.917	
380	48.3241	54.4901	61.783	
381	48.1901	54.3561	61.649	
382	48.0561	54.2221	61.515	
383	47.9221	54.0881	61.381	
384	47.7881	53.9541	61.247	
385	47.6541	53.8201	61.113	
386	47.5201	53.6861	60.979	
387	47.3861	53.5521	60.845	
388	47.2521	53.4181	60.711	
389	47.1181	53.2841	60.577	
390	46.9841	53.1501	60.443	
391	46.8501	53.0161	60.309	
392	46.7161	52.8821	60.175	
393	46.5821	52.7481	60.041	
394	46.4481	52.6141	59.907	
395	46.3141	52.4801	59.773	
396	46.1801	52.3461	59.639	
397	46.0461	52.2121	59.505	
398	45.9121	52.0781	59.371	
399	45.7781	51.9441	59.237	
400	45.6441	51.8101	59.103	
401	45.5101	51.6761	58.969	
402	45.3761	51.5421	58.835	
403	45.2421	51.4081	58.701	
404	45.1081	51.2741	58.567	
405	44.9741	51.1401	58.433	
406	44.8401	51.0061	58.299	
407	44.7061	50.8721	58.165	
408	44.5721	50.7381	58.031	
