 x1	  y1
0	 0.00093671
0.020202	 0.00112779
0.040404	 0.00135783
0.0606061	 0.00163478
0.0808081	 0.00196819
0.10101	 0.00236957
0.121212	 0.00285275
0.141414	 0.00343438
0.161616	 0.00413449
0.181818	 0.00497717
0.20202	 0.00599138
0.222222	 0.00721192
0.242424	 0.00868064
0.262626	 0.0104478
0.282828	 0.0125737
0.30303	 0.0151307
0.323232	 0.0182057
0.343434	 0.0219026
0.363636	 0.0263459
0.383838	 0.0316842
0.40404	 0.0380952
0.424242	 0.0457902
0.444444	 0.0550207
0.464646	 0.0660844
0.484848	 0.0793335
0.505051	 0.0951819
0.525253	 0.114115
0.545455	 0.136696
0.565657	 0.163578
0.585859	 0.195505
0.606061	 0.23332
0.626263	 0.277962
0.646465	 0.330454
0.666667	 0.391883
0.686869	 0.463365
0.707071	 0.54598
0.727273	 0.64069
0.747475	 0.748219
0.767677	 0.868896
0.787879	 1.00247
0.808081	 1.14791
0.828283	 1.30317
0.848485	 1.46502
0.868687	 1.62898
0.888889	 1.78928
0.909091	 1.93917
0.929293	 2.07129
0.949495	 2.17832
0.969697	 2.2538
0.989899	 2.29285
1.0101	 2.29285
1.0303	 2.2538
1.05051	 2.17832
1.07071	 2.07129
1.09091	 1.93917
1.11111	 1.78928
1.13131	 1.62898
1.15152	 1.46502
1.17172	 1.30317
1.19192	 1.14791
1.21212	 1.00247
1.23232	 0.868896
1.25253	 0.748219
1.27273	 0.64069
1.29293	 0.54598
1.31313	 0.463365
1.33333	 0.391883
1.35354	 0.330454
1.37374	 0.277962
1.39394	 0.23332
1.41414	 0.195505
1.43434	 0.163578
1.45455	 0.136696
1.47475	 0.114115
1.49495	 0.0951819
1.51515	 0.0793335
1.53535	 0.0660844
1.55556	 0.0550207
1.57576	 0.0457902
1.59596	 0.0380952
1.61616	 0.0316842
1.63636	 0.0263459
1.65657	 0.0219026
1.67677	 0.0182057
1.69697	 0.0151307
1.71717	 0.0125737
1.73737	 0.0104478
1.75758	 0.00868064
1.77778	 0.00721192
1.79798	 0.00599138
1.81818	 0.00497717
1.83838	 0.00413449
1.85859	 0.00343438
1.87879	 0.00285275
1.89899	 0.00236957
1.91919	 0.00196819
1.93939	 0.00163478
1.9596	 0.00135783
1.9798	 0.00112779
2	 0.00093671
