 x1	  y1
0	 0.00093671
0.0001	 0.000937572
0.0002	 0.000938434
0.0003	 0.000939296
0.0004	 0.00094016
0.0005	 0.000941024
0.0006	 0.000941889
0.0007	 0.000942755
0.0008	 0.000943622
0.0009	 0.000944489
0.001	 0.000945358
0.0011	 0.000946227
0.0012	 0.000947097
0.0013	 0.000947968
0.0014	 0.000948839
0.0015	 0.000949711
0.0016	 0.000950584
0.0017	 0.000951458
0.0018	 0.000952333
0.0019	 0.000953209
0.002	 0.000954085
0.0021	 0.000954962
0.0022	 0.00095584
0.0023	 0.000956719
0.0024	 0.000957598
0.0025	 0.000958479
0.0026	 0.00095936
0.0027	 0.000960242
0.0028	 0.000961125
0.0029	 0.000962008
0.003	 0.000962893
0.0031	 0.000963778
0.0032	 0.000964664
0.0033	 0.000965551
0.0034	 0.000966439
0.0035	 0.000967327
0.0036	 0.000968216
0.0037	 0.000969106
0.0038	 0.000969997
0.0039	 0.000970889
0.004	 0.000971782
0.0041	 0.000972675
0.0042	 0.000973569
0.0043	 0.000974464
0.0044	 0.00097536
0.0045	 0.000976257
0.0046	 0.000977155
0.0047	 0.000978053
0.0048	 0.000978952
0.0049	 0.000979852
0.005	 0.000980753
0.0051	 0.000981654
0.0052	 0.000982557
0.0053	 0.00098346
0.0054	 0.000984364
0.0055	 0.000985269
0.0056	 0.000986175
0.0057	 0.000987082
0.0058	 0.000987989
0.0059	 0.000988898
0.006	 0.000989807
0.0061	 0.000990717
0.0062	 0.000991627
0.0063	 0.000992539
0.0064	 0.000993452
0.0065	 0.000994365
0.0066	 0.000995279
0.0067	 0.000996194
0.0068	 0.00099711
0.0069	 0.000998027
0.007	 0.000998944
0.0071	 0.000999863
0.0072	 0.00100078
0.0073	 0.0010017
0.0074	 0.00100262
0.0075	 0.00100354
0.0076	 0.00100447
0.0077	 0.00100539
0.0078	 0.00100631
0.0079	 0.00100724
0.008	 0.00100817
0.0081	 0.00100909
0.0082	 0.00101002
0.0083	 0.00101095
0.0084	 0.00101188
0.0085	 0.00101281
0.0086	 0.00101374
0.0087	 0.00101467
0.0088	 0.0010156
0.0089	 0.00101654
0.009	 0.00101747
0.0091	 0.00101841
0.0092	 0.00101934
0.0093	 0.00102028
0.0094	 0.00102122
0.0095	 0.00102216
0.0096	 0.0010231
0.0097	 0.00102404
0.0098	 0.00102498
0.0099	 0.00102592
0.01	 0.00102687
0.0101	 0.00102781
0.0102	 0.00102875
0.0103	 0.0010297
0.0104	 0.00103065
0.0105	 0.00103159
0.0106	 0.00103254
0.0107	 0.00103349
0.0108	 0.00103444
0.0109	 0.00103539
0.011	 0.00103635
0.0111	 0.0010373
0.0112	 0.00103825
0.0113	 0.00103921
0.0114	 0.00104016
0.0115	 0.00104112
0.0116	 0.00104207
0.0117	 0.00104303
0.0118	 0.00104399
0.0119	 0.00104495
0.012	 0.00104591
0.0121	 0.00104687
0.0122	 0.00104784
0.0123	 0.0010488
